minNumObj,Number of folds,Train Accuracy,Test Accuracy
1,2,98.9637,97.931
1,3,99.3092,97.931
1,4,99.3092,97.931
1,5,99.3092,98.6207
1,6,99.3092,97.931
1,7,99.3092,98.6207
1,8,99.3092,97.931
1,9,99.3092,97.931
1,10,99.3092,97.931
1,11,94.8187,91.7241
1,12,97.2366,93.7931
1,13,93.9551,94.4828
1,14,96.8912,95.8621
1,15,96.8912,95.8621
1,16,96.8912,97.931
1,17,94.6459,91.7241
1,18,99.3092,97.931
1,19,89.1192,88.2759
1,20,94.8187,91.0345
2,2,98.9637,97.931
2,3,99.3092,97.931
2,4,99.3092,97.931
2,5,99.3092,98.6207
2,6,99.3092,97.931
2,7,99.3092,98.6207
2,8,99.3092,97.931
2,9,99.3092,97.931
2,10,99.3092,97.931
2,11,94.8187,91.7241
2,12,97.2366,93.7931
2,13,93.9551,94.4828
2,14,96.8912,95.8621
2,15,96.8912,95.8621
2,16,99.3092,97.931
2,17,94.6459,87.5862
2,18,99.3092,97.931
2,19,89.1192,88.2759
2,20,94.8187,91.0345
