minNumObj,Confidence Factor,Test Accuracy,Train Accuracy
1,0.05,98.6207,99.3092
1,0.1,98.6207,99.3092
1,0.15,98.6207,99.3092
1,0.2,98.6207,99.3092
1,0.25,98.6207,99.3092
1,0.3,98.6207,99.3092
1,0.35,98.6207,99.8273
1,0.4,98.6207,99.8273
1,0.45,98.6207,99.8273
1,0.5,98.6207,99.8273
1,0.55,98.6207,100
1,0.6,98.6207,100
1,0.65,98.6207,100
1,0.7,98.6207,100
1,0.75,98.6207,100
1,0.8,98.6207,100
1,0.85,98.6207,100
1,0.9,98.6207,100
1,0.95,98.6207,100
2,0.05,98.6207,99.3092
2,0.1,98.6207,99.3092
2,0.15,98.6207,99.3092
2,0.2,98.6207,99.3092
2,0.25,98.6207,99.3092
2,0.3,98.6207,99.3092
2,0.35,98.6207,99.3092
2,0.4,98.6207,99.3092
2,0.45,98.6207,99.3092
2,0.5,98.6207,99.3092
2,0.55,98.6207,99.4819
2,0.6,97.2414,99.4819
2,0.65,97.2414,99.4819
2,0.7,97.2414,99.4819
2,0.75,97.2414,99.4819
2,0.8,97.2414,99.4819
2,0.85,97.2414,99.4819
2,0.9,97.2414,99.4819
2,0.95,97.2414,99.4819
3,0.05,98.6207,99.3092
3,0.1,98.6207,99.3092
3,0.15,98.6207,99.3092
3,0.2,98.6207,99.3092
3,0.25,98.6207,99.3092
3,0.3,98.6207,99.3092
3,0.35,98.6207,99.3092
3,0.4,98.6207,99.3092
3,0.45,98.6207,99.3092
3,0.5,98.6207,99.3092
3,0.55,98.6207,99.3092
3,0.6,98.6207,99.3092
3,0.65,98.6207,99.3092
3,0.7,98.6207,99.3092
3,0.75,98.6207,99.3092
3,0.8,98.6207,99.3092
3,0.85,98.6207,99.3092
3,0.9,98.6207,99.3092
3,0.95,98.6207,99.3092
4,0.05,98.6207,99.3092
4,0.1,98.6207,99.3092
4,0.15,98.6207,99.3092
4,0.2,98.6207,99.3092
4,0.25,98.6207,99.3092
4,0.3,98.6207,99.3092
4,0.35,98.6207,99.3092
4,0.4,98.6207,99.3092
4,0.45,98.6207,99.3092
4,0.5,98.6207,99.3092
4,0.55,98.6207,99.3092
4,0.6,98.6207,99.3092
4,0.65,98.6207,99.3092
4,0.7,98.6207,99.3092
4,0.75,98.6207,99.3092
4,0.8,98.6207,99.3092
4,0.85,98.6207,99.3092
4,0.9,98.6207,99.3092
4,0.95,98.6207,99.3092
