"Sample_ID","Centroid.X","Centroid.Y","Mass","Width","Depth","Orientation..0","Orientation..1","Orientation..2","Orientation..3","Orientation..4","Orientation..5","Orientation..6","Orientation..7","Orientation..8","Orientation..9","Leaf.weight","Leaf.Area","Leaf.Hue","Class"
1,0.0104829775064166,0.0178086266655656,3.33686747345043e-05,0.0157001674716718,0.0482120186961957,1.64742035122857e-05,1.27795492363959e-05,9.772548054463e-06,6.41971455968737e-06,4.5423357728668e-06,3.02869436731365e-06,3.41776014795938e-06,3.74018170488787e-06,4.14274101530806e-06,5.15203913313148e-06,1.38939535147538e-06,0.712551406004149,0.00423904521735139,"A"
2,0.0121042748978002,0.0170036477692687,2.39585465671667e-05,0.011740390719967,0.0341096558787206,1.82433287412821e-05,1.26868113343408e-05,8.41852406878501e-06,5.44890922325797e-06,4.51457989140015e-06,3.56937381697284e-06,3.49970237866381e-06,3.61792394502782e-06,4.34510881022254e-06,5.12550529434621e-06,3.47348837868845e-06,0.484690568362186,0.00414109284507237,"A"
3,0.0110050506459233,0.016457462027733,2.70803753699688e-05,0.018340018639475,0.0441133024093433,1.95853155613931e-05,1.40257925449576e-05,8.86902800876601e-06,5.50559780405398e-06,4.34094104098672e-06,3.10479092548605e-06,3.05978827111222e-06,3.21882019978628e-06,3.63045073351672e-06,4.12924241424057e-06,2.08409302721307e-06,0.702686699008674,0.00451275610159203,"A"
4,0.00922710725808593,0.0193818664348114,0,0.0140328930499013,0,0,1.20286014035654e-05,8.37915430104514e-06,0,4.47159151293713e-06,0,3.69503017680214e-06,0,4.86477511405579e-06,5.75384593438581e-06,0,0,0.00401674196111532,"A"
5,0.0117763181982008,0.0172281314730996,2.22229570348293e-05,0.015352818633803,0.0485593675340645,1.86758366769127e-05,1.34540312097696e-05,7.89915363669186e-06,5.40296865755213e-06,4.25404568532405e-06,3.42570082027213e-06,3.50005549349238e-06,3.79989798656405e-06,4.19965099625333e-06,4.858426341467e-06,2.77879070295076e-06,0.567637470845267,0.00386529786780451,"A"
6,0.0110658877180946,0.0188548738701308,2.1752322076131e-05,0.0098647069954752,0.0478646698583268,1.04408709771832e-05,1.03821782630624e-05,8.68639775580528e-06,0,5.15852885987869e-06,4.20188097579245e-06,4.49371172897913e-06,5.09174125056117e-06,6.34704293052612e-06,8.42902643877705e-06,6.9469767573769e-07,0.462877061344023,0.00456207963656941,"A"
7,0.0104981670710966,0.0178335492989785,2.32515312069405e-05,0.0157502876720498,0.048323730354845,1.6486798033798e-05,1.27682032950162e-05,9.7834027056464e-06,6.41153921849975e-06,4.54024751165354e-06,3.03566635318735e-06,3.40356170845335e-06,3.73985359917562e-06,4.14070388384373e-06,5.14660972344675e-06,6.9469767573769e-07,0.714006382205609,0.00424521265925817,"A"
8,0.0121197234388268,0.0169828572601539,2.40643274875536e-05,0.0119191525975492,0.0341604141728077,1.82395913372564e-05,1.2681233676172e-05,8.41424945504667e-06,5.45943062796632e-06,4.50241295630728e-06,3.55033173686227e-06,3.48800346139508e-06,3.6158471463262e-06,4.33935039171859e-06,5.13658072045097e-06,6.9469767573769e-07,0.483019949179517,0.00413266054424557,"A"
9,0.0109756675185149,0.016443639871223,3.22061842471993e-05,0.0185203934244389,0.0442620301374843,1.95900146354113e-05,1.40364533060197e-05,8.86896861211473e-06,5.49883554740858e-06,4.34456034640755e-06,3.11913045809002e-06,3.05701337071626e-06,3.22786690026858e-06,3.63054667126574e-06,4.12230370438553e-06,2.08409302721307e-06,0.701137163338382,0.00451846548208176,"A"
10,0.00923783265381978,0.0194083108312709,2.28763944620421e-05,0.0141542576369597,0.0494870074483283,1.73096580522907e-05,1.20320661387534e-05,8.38307670306189e-06,5.32584915705221e-06,4.46482925629173e-06,3.51168112015632e-06,3.68340892673356e-06,4.13897304458462e-06,4.85483795009274e-06,5.74725665746168e-06,3.47348837868845e-06,0.604722091158436,0.00401676494449323,"A"
11,0.0117745003758457,0.0172411805908769,1.0413518159308e-05,0.0153410131846457,0.0485005669264478,1.8685727435071e-05,1.34486006885686e-05,7.89656651307765e-06,5.40464454622508e-06,4.24769580121897e-06,3.41194434742741e-06,3.5157592039222e-06,3.79403216779942e-06,4.1906962737433e-06,4.85809740211753e-06,6.9469767573769e-07,0.567663495679065,0.00385984281613387,"A"
12,0.0110507990721459,0.0188817091521315,1.84303293373209e-05,0.00975208055197949,0.0476865772385915,1.04476731789449e-05,1.03692941220891e-05,8.67882110507461e-06,6.2334436046174e-06,5.15492546303464e-06,4.205872778107e-06,4.50170908862222e-06,5.08357368998753e-06,6.34125304221746e-06,8.44062448594326e-06,6.9469767573769e-07,0.461629783977971,0.00455097885122071,"A"
